,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,A_pga,A_pgv,dM,A_site
201,QW,QCM32,45.23,-74.28,1.56,22.39,,,,,,5.2732
202,QW,QCM34,45.64,-74.35,1.7,5.01,,,,,,5.164
203,QW,QCM35,45.75,-74.26,17.68,4.64,,,,,,0.0
204,QW,QCM36,45.87,-74.18,12.5,4.22,,,,,,0.0
205,QW,QCM38,45.83,-74.55,0.0,0.0,,,,,,0.0
206,QW,QCM39,46.05,-74.28,8.84,4.22,,,,,,-0.4051999999999998
207,QW,QCM40,46.32,-74.22,0.0,0.0,,,,,,0.0
208,QW,QCM44,46.41,-74.77,6.25,6.31,,,,,,1.6150000000000002
209,QW,QCM45,46.33,-73.28,5.26,8.41,,,,,,2.3872
210,QW,QCM46,46.68,-73.92,1.86,7.08,,,,,,5.0392
211,QW,QCM47,46.26,-72.94,1.01,5.62,,,,,,5.7022
212,QW,QCM50,46.81,-72.77,3.72,11.22,,,,,,3.5884
213,QW,QCM52,45.9,-73.17,1.31,3.98,,,,,,5.4682
214,QW,QCN03,45.48,-75.61,0.0,0.0,,,,,,0.0
215,QW,QCN05,45.44,-75.81,3.72,7.08,,,,,,3.5884
216,QW,QCN07,45.53,-76.0,0.85,5.62,,,,,,5.827
217,QW,QCN08,45.58,-75.81,0.0,0.0,,,,,,0.0
218,QW,QCN15,45.79,-75.71,0.0,0.0,,,,,,0.0
219,QW,QCN16,45.7,-75.48,0.0,0.0,,,,,,0.0
220,QW,QCN17,45.61,-75.11,0.66,11.22,,,,,,5.9752
221,QW,QCN27,45.93,-76.07,0.0,0.0,,,,,,0.0
222,QW,QCN30,45.64,-74.87,1.01,3.76,,,,,,5.7022
223,QW,QCN40,48.19,-77.76,0.0,0.0,,,,,,0.0
224,QW,QCN43,45.01,-74.61,4.42,10.59,,,,,,3.0424
225,QW,QCN46,46.08,-76.06,4.05,3.98,,,,,,3.3310000000000004
226,QW,QCN47,46.27,-76.0,0.0,0.0,,,,,,0.0
227,QW,QCN49,46.55,-75.49,3.72,13.34,,,,,,3.5884
228,QW,QCN51,46.61,-75.86,0.0,0.0,,,,,,0.0
229,QW,QCN54,45.52,-75.56,1.43,8.41,,,,,,5.3746
230,QW,QCQ01,46.69,-71.69,0.0,0.0,,,,,,0.0
231,QW,QCQ02,46.88,-70.9,0.0,0.0,,,,,,0.0
232,QW,QCQ04,46.7,-71.07,11.46,7.08,,,,,,0.0
233,QW,QCQ07,46.6,-70.86,19.28,6.36,,,,,,0.0
234,QW,QCQ08,46.54,-71.63,14.86,6.51,,,,,,0.0
235,QW,QCQ11,46.72,-72.08,2.21,8.41,,,,,,4.7662
236,QW,QCQ12,46.37,-71.61,8.11,8.41,,,,,,0.16420000000000012
237,QW,QCQ13,46.31,-70.88,0.0,0.0,,,,,,0.0
238,QW,QCQ15,46.73,-72.56,1.2,5.62,,,,,,5.554
239,QW,QCQ16,47.44,-72.78,0.0,0.0,,,,,,0.0
240,QW,QCS01,46.29,-72.14,13.63,7.91,,,,,,0.0
241,QW,QCS02,46.11,-72.38,2.63,7.08,,,,,,4.4386
242,QW,QCS03,46.0,-72.75,1.7,6.68,,,,,,5.164
243,QW,QCS05,46.07,-71.98,10.51,5.96,,,,,,0.0
244,QW,QCS06,46.1,-71.3,0.0,0.0,,,,,,0.0
245,QW,QCS07,45.76,-71.41,8.84,3.76,,,,,,-0.4051999999999998
